Src IP,Dst IP,Protocol,Total Packets,Total Bytes,Flow Duration
10.0.3.0,8.8.4.4,17,24,31008,5.312510013580322
10.0.3.0,8.8.8.8,17,2,2584,1.8759024143218994
10.0.3.0,162.159.61.3,17,2,2584,1.8633739948272705
10.0.3.0,172.64.41.3,17,10,12920,4.945099353790283
10.0.3.0,8.8.8.8,6,10,540,0.062392234802246094
10.0.3.0,162.159.61.3,6,44,8031,18.10854196548462
10.0.3.0,172.64.41.3,6,56,10903,20.192898273468018
10.0.3.0,3.169.71.25,6,2,108,0.006883144378662109
10.0.3.0,8.8.4.4,6,51,10850,18.10850763320923
8.8.8.8,10.0.3.0,6,5,280,0.05633234977722168
162.159.61.3,10.0.3.0,6,39,12848,18.102482080459595
172.64.41.3,10.0.3.0,6,45,12749,20.139834880828857
8.8.4.4,10.0.3.0,6,44,12352,18.102482080459595
3.169.71.25,10.0.3.0,6,1,56,0.0
10.0.3.0,208.103.161.1,6,2,108,0.00404667854309082
208.103.161.1,10.0.3.0,6,1,56,0.0
10.0.3.0,1.1.1.1,17,26,2075,27.93934392929077
1.1.1.1,10.0.3.0,17,26,3720,27.922435760498047
10.0.3.0,162.159.200.123,17,6,540,15.752720594406128
162.159.200.123,10.0.3.0,1,6,420,15.730430841445923
10.0.3.0,23.202.229.22,6,18,5882,16.008536338806152
23.202.229.22,10.0.3.0,6,18,9269,16.004399061203003
10.0.3.0,216.137.52.104,6,88,7190,15.865786790847778
216.137.52.104,10.0.3.0,6,171,197345,15.859673738479614
10.0.3.0,4.213.25.242,6,2,209,0.09142637252807617
4.213.25.242,10.0.3.0,6,2,281,0.0429234504699707
208.103.161.2,10.0.3.0,6,8,598,0.5566604137420654
10.0.3.0,208.103.161.2,6,4,390,0.5566604137420654
20.44.229.112,10.0.3.0,6,3,168,0.0017552375793457031
10.0.3.0,20.44.229.112,6,3,186,0.0017552375793457031
10.0.3.0,162.159.200.1,17,3,270,6.421071290969849
162.159.200.1,10.0.3.0,1,3,210,6.416290998458862
10.0.3.0,3.169.71.64,6,86,7018,1.1042509078979492
3.169.71.64,10.0.3.0,6,168,197179,1.0549471378326416
10.0.3.0,20.44.229.37,6,2,108,0.004423379898071289
20.44.229.37,10.0.3.0,6,1,56,0.0
10.0.3.0,48.218.107.37,6,2,159,0.25264859199523926
48.218.107.37,10.0.3.0,6,2,150,0.19886445999145508
10.0.3.0,23.205.101.202,6,5,393,0.087554931640625
23.205.101.202,10.0.3.0,6,5,535,0.08956742286682129
10.0.3.0,142.250.183.163,6,5,684,0.14487910270690918
142.250.183.163,10.0.3.0,6,5,894,0.09006738662719727
